cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_formato,r_formato,p_formato,persleclrp,edad,sexo,anio,nivel,cond_activ
09,0219,11B168,08,40198,3,1,1,02,1,2,2,1,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,3,4, ,2,2,2,2,2,2,2,1,2, ,3,60,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,15,2,0, ,4,3,2,0, ,2,2,2,2,2,2,1,2,1,1,1,1,1,1,3,16360,3,3,1, ,2, ,1,26,2,2,4,07
09,0219,11B168,08,40198,4,1,0,02,1,1,1,2,1,2,2,1,4, ,2,2,1,2,2,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,7,3, ,1,1,1,1,1,1,0,1,2,1, ,0,0,0,0,0, ,60,2,0, ,4,4,2,0, ,2,2,2,2,2,2,2,0,2,0,1,1,1,1,2,28126,1,2,1,2, ,1,1,45,2,3,3,07
09,0219,12B168,08,40230,3,1,0,01,1,1,1,1,1,2,2,3,1, ,2,1,2,1,2,2, ,1,0,1,2,2, ,90,1, ,2,1,2,2,2,1,2,2,2, ,1,0,1,2,2, ,1,4, ,1,2,1,2,2,1,0,1,2,1, ,0,0,0,0,0, ,60,2,0, ,1,2,1,0, ,1,2,1,1,1,1,2,0,1,4,1,1,2,1,1,8690,1,2,1,1,1,1,1,42,2,4,9,01
09,0219,12B168,08,40230,1,1,0,01,1,1,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,2,3, ,1,2,1,1,1,3,20,2,1,1, ,0,0,0,0,0, ,10,2,0, ,2,4,2,0, ,2,2,2,2,2,1,1,1,2,0,1,1,1,1,2,17704,1,3,1, , ,2,1,58,1,3,6,01
09,0219,12B168,08,40230,2,1,0,01,1,1,1,2,2,2,2,1,4, ,2,2,2,1,2,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,30,2,0, ,1,1,2,0, ,2,2,2,2,2,2,2,0,2,0,1,1,1,1,2,9697,1,1,1,2, , ,1,77,2,3,2,07
09,0219,12B168,08,40230,4,1,0,03,1,1,1,2,2,2,2,6,4, ,2,1,2,2,2,2, ,1,0,1,2,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,60,2,0, ,2,2,2,0, ,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,31499,1,1,1,1, , ,1,33,1,4,7,01
09,0219,11B174,08,40290,3,1,0,03,1,1,1,2,1,2,1,1,4, ,2,2,2,2,1,2, ,3,80,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,1,4, ,2,2,1,2,1,1,0,1,2,1, ,0,0,0,2,4, ,30,2,0, ,3,3,2,0, ,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,23836,1,2,1,2, ,1,1,23,2,4,7,06
09,0219,11B174,08,40290,4,1,0,01,1,1,1,1,2,2,2,6,3, ,2,2,2,1,1,2, ,2,0,2,1,1, ,2,4, ,2,2,2,2,2,2,1,2,2, ,3,100,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,60,2,0, ,2,2,2,0, ,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,7990,1,2,1,2,2, ,1,75,1,6,2,01
09,0219,11B174,08,40290,1,1,0,01,1,1,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,5,1, ,1,1,2,2,1,2,0,2,1,1, ,0,0,0,0,0, ,15,2,0, ,1,1,2,0, ,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,7999,1,3,1, , ,2,1,32,1,6,2,01
09,0219,12B174,08,40291,3,1,0,02,1,2,1,2,2,2,2,1,4, ,2,2,2,2,1,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,15,2,0, ,2,4,2,0, ,2,2,2,2,2,2,2,0,2,0,1,2,1,1,2,12805,3,1,1,2, , ,1,49,2,3,3,07
