folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
"11B221","28","40004","4","1","0","01","10","0224","1","46","04","3","01",1,2,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,3,"",20,2,0,"",3,3,2,0,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,23689,"3","3","1","0","0","0","2"
"11B221","28","40004","3","1","0","02","10","0224","2","37","03","3","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,35533,"4","4","2","0","0","0","2"
"11B221","28","40004","1","1","0","01","10","0224","1","24","04","1","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,23689,"4","4","2","0","0","0","2"
"12B221","28","40006","3","1","0","01","10","0224","2","46","07","7","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,2,2,0,1,1,1,1,1,2,1,28934,"4","4","2","0","0","0","2"
"12B216","28","40011","4","1","0","01","10","0224","2","73","02","6","08",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,8843,"4","4","2","0","0","0","2"
"12B216","28","40011","1","1","0","01","10","0224","2","36","06","3","01",1,1,1,2,2,2,2,2,3,"",2,2,1,2,1,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",60,2,0,"",4,3,2,0,"",2,2,2,2,2,2,2,0,1,2,1,1,1,1,1,8843,"1","1","1","1","0","0","1"
"12B216","28","40011","2","1","0","01","10","0224","1","71","06","3","08",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,17687,"4","4","2","0","0","0","2"
"12B216","28","40011","3","1","0","03","10","0224","2","39","04","3","10",1,1,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,1,3,"",5,2,0,"",2,2,2,0,"",2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,26530,"1","3","1","0","0","0","2"
"12B213","28","40034","1","1","0","01","10","0224","1","77","07","5","08",1,1,1,2,2,2,2,2,4,"",2,2,2,1,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",40,2,0,"",2,3,2,0,"",2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,16243,"1","1","1","2","0","0","1"
"12B213","28","40034","4","1","0","02","10","0224","1","30","07","1","01",1,1,1,2,2,2,2,1,2,"",2,1,2,2,2,2,"",2,0,2,1,2,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",40,1,6,"",2,2,1,0,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,16243,"1","1","1","2","0","0","1"
"12B213","28","40034","2","1","0","01","10","0224","1","39","07","5","08",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,24365,"4","4","2","0","0","0","2"
"12B213","28","40034","3","1","0","02","10","0224","2","49","06","3","01",1,2,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,3,"",30,2,0,"",2,3,1,0,"",2,2,2,2,1,1,1,1,2,0,1,1,1,1,1,16243,"3","3","1","0","0","0","2"
"11A227","28","40059","4","1","0","01","10","0224","1","55","04","3","01",1,1,2,2,1,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",2,3,"",1,1,2,2,1,2,0,2,1,2,"",0,0,0,0,0,"",20,2,0,"",2,3,2,0,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,17487,"1","3","1","0","0","2","1"
"11A227","28","40059","1","1","0","01","10","0224","2","35","07","4","01",1,1,1,2,2,2,1,1,4,"",2,2,2,1,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,4,"",40,2,0,"",3,3,2,0,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,26230,"1","2","1","2","0","0","1"
"11A227","28","40059","2","1","0","01","10","0224","1","44","03","3","01",1,1,2,1,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",1,4,"",2,2,2,1,2,2,2,2,2,"",2,0,2,1,2,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,1,"",30,2,0,"",2,3,1,0,"",2,2,2,2,2,1,2,0,2,0,1,1,1,1,1,17487,"1","3","1","0","2","0","1"
