folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
"12A208","25","40237","1","1","0","02","24","0222","1","59","04","3","01",1,2,2,2,1,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",3,3,"",2,2,2,2,1,2,0,2,1,2,"",0,0,0,0,0,"",20,2,0,"",2,3,2,0,"",2,2,2,2,2,2,2,0,2,0,1,3,1,3,3,36015,"3","3","1","0","0","2","1"
"12A208","25","40237","3","1","0","03","24","0222","2","18","04","3","06",1,1,1,2,2,2,1,5,2,"",2,1,2,1,2,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,1,4,"",60,2,0,"",3,3,1,0,"",1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,26701,"1","2","1","1","0","0","1"
"12A208","25","40237","4","1","0","01","24","0222","1","52","03","2","01",1,1,2,2,1,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",6,3,"",1,1,1,1,1,3,100,2,1,2,"",0,0,0,0,0,"",40,2,0,"",2,3,2,0,"",2,2,2,2,2,1,2,0,1,1,1,3,1,2,2,33676,"1","3","1","0","0","2","1"
"11B194","25","40244","3","1","0","02","24","0222","2","61","02","3","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,9877,"4","4","2","0","0","0","2"
"11B194","25","40244","1","1","0","02","24","0222","2","63","02","6","07",2,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29631,"0","0","0","0","0","0","0"
"11B194","25","40244","4","1","0","03","24","0222","2","38","03","2","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,2,0,1,1,1,2,2,25344,"4","4","2","0","0","0","2"
"11B194","25","40244","2","1","0","03","24","0222","1","26","07","4","01",1,1,1,1,1,1,1,2,4,"",2,2,2,2,1,2,"",3,1000,2,1,1,"",5,4,"",1,2,2,2,2,2,2,2,2,"",1,0,1,2,1,"",5,4,"",2,1,2,2,2,1,0,1,1,1,"",5,1,1,2,4,"",45,2,0,"",3,4,2,0,"",1,2,2,2,2,1,1,2,1,4,1,1,1,1,2,24723,"1","2","1","2","1","3","1"
"12B195","25","40306","4","1","0","01","24","0222","2","61","07","1","08",1,1,1,1,2,2,1,4,4,"",2,2,1,2,1,2,"",3,600,2,1,1,"",2,5,"",2,2,2,2,1,2,2,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,2,5,"",30,1,3,"",2,3,1,0,"",1,2,2,2,2,2,2,0,1,1,1,1,1,1,1,5951,"1","2","1","2","2","0","1"
"12B195","25","40306","2","1","0","01","24","0222","1","40","07","5","01",1,1,1,1,2,1,1,3,4,"",2,2,2,1,2,2,"",3,800,2,1,1,"",1,4,"",2,2,2,2,2,2,1,2,2,"",3,40,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",5,2,1,2,4,"",30,2,0,"",4,4,2,0,"",2,2,2,1,2,2,2,0,1,1,1,2,1,2,1,14179,"1","2","1","2","2","0","1"
"12B195","25","40306","3","1","0","03","24","0222","1","21","03","2","01",1,2,2,2,1,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",1,3,"",2,2,2,2,1,3,10,2,1,2,"",0,0,0,1,1,"",4,2,0,"",1,2,2,0,"",2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,24957,"3","3","1","0","0","2","1"
"12B195","25","40306","1","1","0","04","24","0222","1","52","02","6","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,15387,"4","4","2","0","0","0","2"
"13B201","25","40364","3","1","0","03","24","0222","2","19","04","3","06",1,1,1,2,2,2,1,5,4,"",2,2,2,1,2,2,"",1,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,3,4,"",90,2,0,"",3,3,1,0,"",2,2,2,2,2,2,1,2,1,4,1,1,1,1,2,38674,"1","2","1","2","0","0","1"
"13B201","25","40364","2","1","0","03","24","0222","2","18","04","1","06",1,1,1,2,2,2,1,2,4,"",2,2,1,2,2,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,4,"",30,1,3,"",3,4,1,0,"",2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,38674,"1","2","1","1","0","0","1"
"13B201","25","40364","1","1","0","01","24","0222","1","53","04","3","01",1,1,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,2,1,"",20,2,0,"",2,3,1,0,"",2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,36584,"1","3","1","0","0","0","2"
"13B201","25","40364","4","1","0","04","24","0222","2","25","04","1","01",1,1,1,2,2,2,1,4,4,"",2,2,2,1,1,2,"",3,400,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,2,4,"",30,2,0,"",2,2,2,0,"",2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,32534,"1","2","1","2","0","0","1"
"12B201","25","40396","1","1","0","01","24","0222","2","42","07","5","07",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,5,"",2,2,2,2,1,1,2,0,1,1,1,3,1,3,3,11605,"4","4","2","0","0","0","2"
"12B201","25","40396","2","1","0","01","24","0222","1","48","04","3","03",1,1,2,2,1,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",2,4,"",2,2,2,2,2,2,0,2,1,1,"",0,0,0,0,0,"",30,2,0,"",2,3,2,0,"",2,2,2,2,2,1,2,0,2,0,1,2,1,2,2,29229,"1","3","1","0","0","2","1"
"12B201","25","40396","4","1","0","01","24","0222","1","60","04","3","01",1,2,2,2,1,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",7,4,"",1,1,1,1,1,3,50,2,1,1,"",0,0,0,0,0,"",30,2,0,"",3,3,1,0,"",2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,18755,"3","3","1","0","0","2","1"
"11B195","25","40403","2","1","0","02","24","0222","2","24","03","3","07",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,1,2,2,2,2,2,0,2,0,2,0,0,0,0,19029,"4","4","2","0","0","0","2"
"11B195","25","40403","1","1","0","03","24","0222","1","23","03","3","01",1,2,2,2,1,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",3,4,"",2,1,2,2,1,2,0,2,1,1,"",0,0,0,2,4,"",20,2,0,"",2,2,2,0,"",2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,38928,"3","3","1","0","0","2","1"
